,latitude,longitude,closest_station
168,51.549714,-0.132303,"['Kentish Town', 524.516]"
169,51.552982,-0.191329,"['West Hampstead', 552.149]"
170,51.516546,-0.120575,"['Holborn', 110.547]"
171,51.5469,-0.162404,"['Belsize Park', 381.259]"
172,51.553401,-0.171422,"['Chesham', 473.553]"
173,51.554666,-0.166031,"['Belsize Park', 519.407]"
174,51.570602,-0.14783,"['Highgate', 764.394]"
175,51.549613,-0.122557,"['Caledonian Road', 414.369]"
176,51.558968,-0.189261,"['Hampstead', 769.537]"
177,51.559817,-0.197758,"['Golders Green', 1150.52]"
178,51.558832,-0.178734,"['Hampstead', 206.944]"
179,51.547397,-0.146112,"['Kentish Town', 555.989]"
180,51.527828,-0.116059,"[""King's Cross St. Pancras"", 545.903]"
181,51.552979,-0.166314,"['Belsize Park', 322.789]"
182,51.552979,-0.166314,"['Belsize Park', 322.789]"
183,51.552979,-0.166314,"['Belsize Park', 322.789]"
184,51.552979,-0.166314,"['Belsize Park', 322.789]"
185,51.552979,-0.166314,"['Belsize Park', 322.789]"
186,51.552979,-0.166314,"['Belsize Park', 322.789]"
187,51.546909,-0.135117,"['Kentish Town', 574.313]"
188,51.544409,-0.16575,"['Chesham', 435.619]"
189,51.541432,-0.187326,"['West Hampstead', 636.343]"
190,51.559719,-0.189611,"['Hampstead', 827.481]"
191,51.5512,-0.1733,"['Hampstead', 633.448]"
192,51.549613,-0.143961,"['Kentish Town', 316.534]"
193,51.519811,-0.12176,"['Holborn', 219.236]"
194,51.550979,-0.19569,"['West Hampstead', 600.318]"
195,51.534852,-0.141769,"['Mornington Crescent', 369.748]"
196,51.54661,-0.129721,"['Caledonian Road', 813.19]"
197,51.54661,-0.129721,"['Caledonian Road', 813.19]"
198,51.550686,-0.161234,"['Belsize Park', 310.465]"
199,51.546199,-0.130871,"['Chesham', 874.61]"
200,51.551013,-0.183616,"['Finchley Road', 427.332]"
201,51.523456,-0.150822,"[""Regent's Park"", 291.859]"
202,51.555547,-0.178199,"['Hampstead', 157.617]"
203,51.551,-0.185,"['Finchley Road', 515.805]"
204,51.542331,-0.171457,"['Swiss Cottage', 169.256]"
205,51.554529,-0.174515,"['Hampstead', 307.655]"
206,51.544846,-0.180952,"['Finchley Road', 266.479]"
207,51.527536,-0.115171,"[""King's Cross St. Pancras"", 601.53]"
208,51.54324,-0.187776,"['West Hampstead', 498.144]"
209,51.551789,-0.174209,"['Hampstead', 519.475]"
210,51.554579,-0.183632,"['Hampstead', 426.822]"
211,51.55381,-0.116043,"['Holloway Road', 316.469]"
212,51.54983,-0.148455,"['Chesham', 595.136]"
213,51.546274,-0.146336,"['Kentish Town', 537.278]"
214,51.542254,-0.141186,"['Camden Town', 312.222]"
215,51.54688,-0.131397,"['Kentish Town', 685.825]"
216,51.52517,-0.15942,"['Baker Street', 347.241]"
217,51.546268,-0.128033,"['Caledonian Road', 675.016]"
