,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant
5403,5403,Lambeth,2021-01-13,Savills - Northcote Road,0,"Blenkarne Road, London SW11",0,0,pre-owned,3750000.0,detached,0,freehold,5 bed detached house for sale,51.451683,-0.163727,276.0,5,4,4,2021-01-13,4500000.0,0,1,1,Chesham,959,8
5404,5404,Lambeth,2021-01-12,Citian & Partners,1,"8 Casson Square, Southbank SE1",0,0,new,1250000.0,flat,0,Other,2 bed flat for sale,51.4980295287958,-0.114413465968586,72.0,2,2,1,2021-01-12,1250000.0,0,0,0,Lambeth North,483,41
5405,5405,Lambeth,2021-01-12,Citian & Partners,1,"8 Casson Square, Southbank SE1",0,0,new,800000.0,studio,0,Other,Studio for sale,51.4980295287958,-0.114413465968586,46.0,0,1,1,2021-01-12,800000.0,0,0,0,Lambeth North,483,41
5406,5406,Lambeth,2021-01-12,Citian & Partners,1,"8 Casson Square, Southbank SE1",0,0,new,860000.0,flat,0,Other,1 bed flat for sale,51.4980295287958,-0.114413465968586,51.0,1,1,1,2021-01-12,860000.0,0,0,0,Lambeth North,483,41
5407,5407,Lambeth,2021-01-11,"Purplebricks, Head Office",0,"Clapham Road, Clapham SW9",0,0,pre-owned,400000.0,flat,0,leasehold,1 bed flat for sale,51.467892,-0.12819,46.0,1,1,0,2021-01-11,415000.0,0,0,1,Clapham North,296,24
5408,5408,Lambeth,2021-01-08,JLL - City,0,"Blackfriars Road, London SE1",0,0,pre-owned,1000000.0,flat,0,leasehold,1 bed flat for sale,51.507727,-0.105072,47.0,1,1,1,2021-01-08,1000000.0,1,0,0,Blackfriars,409,60
5409,5409,Lambeth,2021-01-07,Napier Watt,0,"Belvedere Road, London SE1",0,0,pre-owned,3200000.0,flat,0,Other,3 bed flat for sale,51.50521,-0.116137,153.0,3,3,1,2021-01-07,3200000.0,1,1,1,Waterloo,204,68
5410,5410,Lambeth,2021-01-07,Courtenay,1,"Fernlea Road, Balham, London SW12",0,0,pre-owned,900000.0,flat,0,Other,4 bed flat for sale,51.4421,-0.148074,133.0,4,2,2,2021-01-07,900000.0,0,0,1,Balham,439,26
5411,5411,Lambeth,2021-01-07,Courtenay,1,"Fernlea Road, Balham SW12",0,0,pre-owned,500000.0,flat,0,Other,1 bed flat for sale,51.4421,-0.148074,48.0,1,1,1,2021-01-07,500000.0,0,0,1,Balham,439,26
5412,5412,Lambeth,2021-01-07,Winkworth - Herne Hill,1,"Kings Avenue, London SW4",0,0,new,625000.0,flat,0,leasehold,2 bed flat for sale,51.453684,-0.129304,84.0,2,2,1,2021-01-07,650000.0,0,0,0,Chesham,909,4
5413,5413,Lambeth,2021-01-07,Winkworth - Herne Hill,1,"Kings Avenue, London SW4",0,0,new,625000.0,flat,0,leasehold,2 bed flat for sale,51.453684,-0.129304,84.0,2,2,1,2021-01-07,650000.0,0,0,0,Chesham,909,4
5414,5414,Lambeth,2021-01-05,Savills - Margaret Street RDS,1,"Southbank Place, 30 Casson Square, London SE1",0,0,new,2300000.0,flat,0,leasehold,2 bed flat for sale,51.4980295287958,-0.114413465968586,1672.0,2,2,1,2021-01-05,2200000.0,0,0,0,Lambeth North,483,41
5415,5415,Lambeth,2021-01-05,Savills - Margaret Street RDS,1,"Casson Square, Southbank Place, London SE1",0,0,new,3800000.0,flat,0,leasehold,3 bed flat for sale,51.4980295287958,-0.114413465968586,1672.0,3,3,1,2021-01-05,3800000.0,1,0,0,Lambeth North,483,41
5416,5416,Lambeth,2021-01-04,Ludlow Thompson - Kennington / Oval,0,"Stockwell Road, London SW9",0,0,pre-owned,375000.0,flat,0,Other,1 bed flat for sale,51.472181,-0.12142,46.0,1,1,1,2021-01-04,390000.0,0,1,0,Stockwell,98,10
5417,5417,Lambeth,2021-01-04,The Modern House,0,"Templar Street, London SE5",0,0,pre-owned,3275000.0,detached,0,freehold,5 bed detached house for sale,51.47175,-0.10358,437.0,5,4,0,2021-01-04,3275000.0,1,0,1,Chesham,1149,2
5418,5418,Lambeth,2021-01-04,Garton Jones - Nine Elms & Vauxhall,0,"Albert Embankment, Nine Elms, London SE1",0,0,pre-owned,595000.0,flat,0,leasehold,1 bed flat for sale,51.492076,-0.121497,49.0,1,1,1,2021-01-04,595000.0,1,1,0,Vauxhall,570,15
5419,5419,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,560000.0,flat,0,leasehold,3 bed flat for sale,51.423785,-0.031679,86.0,3,2,0,2021-07-02,560000.0,1,1,1,Lewisham,3937,1
5420,5420,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,495000.0,flat,0,leasehold,2 bed flat for sale,51.423785,-0.031679,73.0,2,2,0,2021-07-02,495000.0,1,1,1,Lewisham,3937,1
5421,5421,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,550000.0,flat,0,leasehold,3 bed flat for sale,51.423785,-0.031679,87.0,3,2,0,2021-07-02,550000.0,1,1,1,Lewisham,3937,1
5422,5422,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,493000.0,flat,0,leasehold,2 bed flat for sale,51.423785,-0.031679,72.0,2,2,0,2021-07-02,493000.0,1,1,1,Lewisham,3937,1
5423,5423,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,456000.0,flat,0,leasehold,2 bed flat for sale,51.423785,-0.031679,51.0,2,2,0,2021-07-02,456000.0,1,1,1,Lewisham,3937,1
5424,5424,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,354500.0,flat,0,leasehold,1 bed flat for sale,51.423785,-0.031679,50.0,1,1,0,2021-07-02,354500.0,1,1,1,Lewisham,3937,1
5425,5425,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,361000.0,flat,0,leasehold,1 bed flat for sale,51.423785,-0.031679,55.0,1,1,0,2021-07-02,361000.0,1,1,1,Lewisham,3937,1
5426,5426,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,461000.0,flat,0,leasehold,2 bed flat for sale,51.423785,-0.031679,71.0,2,2,0,2021-07-02,461000.0,1,1,1,Lewisham,3937,1
5427,5427,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,353500.0,flat,0,leasehold,1 bed flat for sale,51.423785,-0.031679,51.0,1,1,0,2021-07-02,353500.0,1,1,1,Lewisham,3937,1
5428,5428,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,356000.0,flat,0,leasehold,1 bed flat for sale,51.423785,-0.031679,54.0,1,1,0,2021-07-02,356000.0,1,1,1,Lewisham,3937,1
5429,5429,Lewisham,2021-07-02,Bellway - Maybrey Works,1,"Worsley Bridge Road, Sydenham SE26",0,0,new,335000.0,flat,0,leasehold,1 bed flat for sale,51.423785,-0.031679,50.0,1,1,0,2021-07-02,335000.0,1,0,1,Lewisham,3937,1
5430,5430,Lewisham,2021-07-02,Ernest-Brooks International,0,"Shooters Hill Road, Blackheath SE3",0,0,pre-owned,450000.0,studio,0,share_of_freehold,Studio for sale,51.474638,0.021814,78.0,0,0,0,2021-07-02,450000.0,0,1,1,Chesham,1991,5
5431,5431,Lewisham,2021-07-02,Hunters - Forest Hill,1,"Devonshire Road, Forest Hill SE23",0,0,pre-owned,400000.0,flat,0,freehold,2 bed flat for sale,51.446974,-0.048714,65.0,2,0,0,2021-07-02,400000.0,0,0,1,New Cross Gate,2721,3
5432,5432,Lewisham,2021-07-02,Changing Property,1,"Waller Road, London SE14",0,0,pre-owned,1300000.0,Other,0,freehold,5 bed property for sale,51.469074,-0.047382,221.0,5,3,2,2021-07-02,1300000.0,1,0,1,New Cross Gate,848,4
5433,5433,Lewisham,2021-07-01,Winkworth - Blackheath,0,"Brookway, Blackheath, London SE3",0,0,pre-owned,2200000.0,semi_detached,0,freehold,6 bed semi-detached house for sale,51.461406,0.016755,204.0,6,2,2,2021-07-01,2200000.0,0,1,1,Lewisham,2257,1
5434,5434,Lewisham,2021-07-01,Dexters - London Bridge,0,"Enterprize Way, London SE8",0,0,pre-owned,650000.0,Other,0,leasehold,4 bed property for sale,51.492486,-0.033279,121.0,4,4,1,2021-07-01,650000.0,0,1,0,Surrey Quays,922,3
5435,5435,Lewisham,2021-07-01,Alex Neil Estate Agents - Rotherhithe & Bermondsey,1,"Evelyn Street, London SE8",0,0,new,581000.0,flat,0,leasehold,2 bed flat for sale,51.487489,-0.037017,77.0,2,1,1,2021-07-01,581000.0,0,0,1,New Cross,1095,6
5436,5436,Lewisham,2021-07-01,Acorn - Forest Hill,1,"Haseley End, Tyson Road, London SE23",0,0,pre-owned,400000.0,flat,0,leasehold,3 bed flat for sale,51.445227,-0.054501,88.0,3,1,1,2021-07-01,400000.0,1,0,0,New Cross Gate,2815,1
5437,5437,Lewisham,2021-07-01,Acorn - Sydenham,1,"Watlington Grove, London SE26",0,0,pre-owned,600000.0,flat,0,freehold,3 bed flat for sale,51.425353,-0.042601,11.0,3,1,1,2021-07-01,600000.0,0,0,1,Lewisham,3960,7
5438,5438,Lewisham,2021-07-01,Oliver Jaques,0,"Evelyn Street, London SE8",0,0,pre-owned,850000.0,terraced,0,Other,5 bed terraced house for sale,51.488433,-0.039633,153.0,5,1,2,2021-07-01,850000.0,1,0,1,Surrey Quays,601,7
5439,5439,Lewisham,2021-06-30,Keatons - Deptford,1,"Woodcote House, Prince Street, London SE8",0,0,pre-owned,285000.0,flat,0,leasehold,2 bed flat for sale,51.483079,-0.028766,61.0,2,1,1,2021-06-30,285000.0,1,0,0,New Cross,672,12
5440,5440,Lewisham,2021-06-30,"Property World, Sydenham",0,"Newlands Park, London SE26",0,0,pre-owned,490000.0,flat,0,leasehold,2 bed flat for sale,51.421247,-0.052706,70.0,2,2,1,2021-06-30,490000.0,0,1,1,Chesham,4670,3
5441,5441,Lewisham,2021-06-30,"Property World, Sydenham",0,"Border Road, London SE26",0,0,pre-owned,485000.0,flat,0,share_of_freehold,2 bed flat for sale,51.424155,-0.059799,92.0,2,1,1,2021-06-30,485000.0,0,0,1,New Cross Gate,4787,4
5442,5442,Lewisham,2021-06-30,Sebastian Roche Ltd,0,"Tatnell Road, London SE23",0,0,pre-owned,900000.0,semi_detached,0,Other,4 bed semi-detached house for sale,51.450153,-0.042833,141.0,4,2,2,2021-06-30,900000.0,0,0,1,New Cross Gate,2360,5
5443,5443,Lewisham,2021-06-30,Conran,0,"Shardeloes Road, New Cross SE14",0,0,pre-owned,350000.0,flat,0,Other,2 bed flat for sale,51.471534,-0.03471,65.0,2,1,1,2021-06-30,350000.0,1,0,0,New Cross,527,24
5444,5444,Lewisham,2021-06-30,Hammer Price Homes Ltd,1,"St Johns Park, London SE3",0,0,pre-owned,199500.0,studio,1,share_of_freehold,Studio for sale,51.476182,0.020878,45.0,0,1,1,2021-06-30,199500.0,0,1,1,Chesham,1864,5
5445,5445,Lewisham,2021-06-30,jdm Estate Agents,1,"Shooters Hill Road, Blackheath SE3",0,0,pre-owned,315000.0,flat,0,freehold,1 bed flat for sale,51.4743,0.027471,43.0,1,1,1,2021-06-30,315000.0,0,0,0,Chesham,2937,3
5446,5446,Lewisham,2021-06-29,Robinson Jackson - Catford,0,"Battersby Road, London SE6",0,0,pre-owned,250000.0,flat,0,leasehold,2 bed flat for sale,51.433091,-0.001279,5.0,2,0,0,2021-06-29,250000.0,1,0,1,Lewisham,3461,0
5447,5447,Lewisham,2021-06-29,Just Sold,0,"Vanbrugh Hill, Greenwich SE3",0,0,pre-owned,635000.0,flat,0,leasehold,3 bed flat for sale,51.48264,0.007697,81.0,3,2,1,2021-06-29,635000.0,0,0,0,Cutty Sark,1201,15
5448,5448,Lewisham,2021-06-29,Keatons - Deptford,0,"Hawkins House, New King Street, London SE8",0,0,pre-owned,375000.0,flat,0,leasehold,2 bed flat for sale,51.481929,-0.026166,89.0,2,1,1,2021-06-29,375000.0,0,0,0,New Cross,741,15
5449,5449,Lewisham,2021-06-29,Mann - Sydenham Sales,1,"Cricketers Walk, London SE26",0,0,pre-owned,300000.0,flat,0,Other,2 bed flat for sale,51.425339,-0.056368,56.0,2,1,1,2021-06-29,300000.0,0,1,0,New Cross Gate,4724,7
5450,5450,Lewisham,2021-06-29,Durden & Hunt,0,"Montpelier Vale, Blackheath, London SE3",0,0,pre-owned,2000000.0,terraced,0,freehold,Terraced house for sale,51.466499,0.00841,97.0,0,0,0,2021-06-29,2000000.0,1,0,1,Chesham,1686,24
