,index,Borough,date_listed,agency_name,chain_free,address,isRetirementHome,isSharedOwnership,listingCondition,price,propertyType,isAuction,tenure,title,latitude,longitude,floor_area_msq,numBedrooms,numBathrooms,numLivingRooms,firstPublishedDate,firstPublishedPrice,balcony_terrace,parking,garden,closest_station_name,closest_station_distance_sec,pub_restaurant,amenities_shop
1269,1269,Westminster,2021-07-12,Dexters - Marylebone,1,"Stourcliffe Street, London W1H",0,0,pre-owned,420000.0,flat,0,leasehold,1 bed flat for sale,51.515394,-0.162978,44.0,1,1,1,2021-07-12T16:56:56,420000.0,0,0,0,Marble Arch,364,96,"[9, 0, 1, 5]"
1270,1270,Westminster,2021-07-12,Beauchamp Estates St. Johns Wood,0,"Hamilton Terrace, St John's Wood NW8",0,0,pre-owned,9500000.0,detached,0,freehold,4 bed detached house for sale,51.528241,-0.179029,418.0,4,2,0,2021-07-12T16:02:15,9500000.0,1,0,1,Chesham,482,20,"[3, 2, 3, 0]"
1271,1271,Westminster,2021-07-12,Winkworth - St Johns Wood,1,"Marylands Road, Maida Vale W9",0,0,pre-owned,599950.0,flat,0,Other,2 bed flat for sale,51.523452,-0.194912,69.0,2,1,1,2021-07-12T15:13:27,695000.0,0,0,1,Chesham,492,24,"[14, 5, 1, 1]"
1272,1272,Westminster,2021-07-12,Residenza Properties Tooting Ltd,0,"Lancaster Gate, London W2",0,0,pre-owned,23000000.0,town_house,0,freehold,60 bed town house for sale,51.512106,-0.178851,2323.0,60,10,5,2021-07-12T14:32:32,23000000.0,0,0,1,Lancaster Gate,226,39,"[3, 4, 0, 0]"
1273,1273,Westminster,2021-07-12,Foxtons - Pimlico & Westminster,0,"Page Street, Westminster, London SW1P",0,0,pre-owned,550000.0,flat,0,Other,2 bed flat for sale,51.493467,-0.130162,50.0,2,1,1,2021-07-12T14:23:35,550000.0,0,0,0,Pimlico,577,36,"[16, 5, 3, 1]"
1274,1274,Westminster,2021-07-12,Kenwood Estates,0,"Spring Street, Paddington W2",0,0,pre-owned,425000.0,flat,0,leasehold,1 bed flat for sale,51.514822,-0.175414,37.0,1,1,1,2021-07-12T12:23:26,440000.0,0,0,1,Paddington,212,62,"[5, 2, 0, 1]"
1275,1275,Westminster,2021-07-10,99Home Ltd,0,"Stourcliffe Close, London W1H",0,0,pre-owned,965000.0,flat,0,leasehold,4 bed flat for sale,51.515713,-0.162767,102.0,4,2,1,2021-07-10T15:29:40,975000.0,0,0,0,Marble Arch,401,106,"[9, 0, 1, 5]"
1276,1276,Westminster,2021-07-10,Knight Frank - Hyde Park Sales,0,"Hyde Park Crescent, Hyde Park Estate, London W2",0,0,pre-owned,10000000.0,terraced,0,Other,5 bed terraced house for sale,51.5148,-0.1688,533.0,5,5,5,2021-07-10T15:05:55,10000000.0,1,1,1,Edgware Road (B),634,85,"[10, 1, 1, 5]"
1277,1277,Westminster,2021-07-09,Panther International Properties,0,"Hyde Park, London W2",0,0,pre-owned,225000000.0,block_of_flats,0,freehold,Block of flats for sale,51.512508,-0.172941,10219.0,0,0,6,2021-07-09T22:01:50,225000000.0,1,1,1,Lancaster Gate,190,49,"[2, 2, 0, 0]"
1278,1278,Westminster,2021-07-09,Winkworth - West End,0,"Little Russell Street, London WC1A",0,0,pre-owned,1200000.0,flat,0,leasehold,2 bed flat for sale,51.517998,-0.125358,102.0,2,2,1,2021-07-09T21:20:59,1200000.0,0,0,0,Chesham,556,229,"[51, 12, 13, 4]"
1279,1279,Westminster,2021-07-09,Hamptons - Hyde Park & Bayswater Sales,0,"Gloucester Terrace, Bayswater, London W2",0,0,pre-owned,1100000.0,flat,0,share_of_freehold,3 bed flat for sale,51.516857,-0.18251,113.0,3,2,1,2021-07-09T19:50:12,1100000.0,1,0,1,Royal Oak,599,61,"[7, 3, 2, 3]"
1280,1280,Westminster,2021-07-09,Bargets,0,"Cavendish House, Wellington Road, St John’S Wood NW8",0,0,pre-owned,3950000.0,flat,0,Other,4 bed flat for sale,51.531927,-0.171908,279.0,4,0,0,2021-07-09T18:24:56,3950000.0,1,0,0,St. John's Wood,316,16,"[9, 2, 1, 1]"
1281,1281,Westminster,2021-07-09,Knight Frank - St John's Wood Sales,0,"Randolph Avenue, London W9",0,0,pre-owned,5750000.0,flat,0,Other,4 bed flat for sale,51.525967,-0.180829,269.0,4,3,1,2021-07-09T16:08:54,5750000.0,0,0,1,Warwick Avenue,293,35,"[4, 1, 3, 0]"
1282,1282,Westminster,2021-07-09,Dexters - Maida Vale,0,"St. Peters Place, London W9",0,0,pre-owned,1695000.0,terraced,0,freehold,4 bed terraced house for sale,51.524782,-0.191479,143.0,4,1,1,2021-07-09T15:01:22,1695000.0,1,0,0,Royal Oak,758,24,"[12, 5, 3, 0]"
1283,1283,Westminster,2021-07-09,MyLondonHome - Westminster & Pimlico,1,"The Nova Building, 75 Buckingham Palace Road, Victoria SW1W",0,0,pre-owned,1100000.0,flat,0,leasehold,1 bed flat for sale,51.49717,-0.143285,60.0,1,1,1,2021-07-09T14:43:56,1000000.0,0,0,1,Victoria,122,89,"[6, 4, 5, 3]"
1284,1284,Westminster,2021-07-09,Foxtons - West End,0,"Vale Royal, Covent Garden, London WC2H",0,0,pre-owned,500000.0,flat,0,Other,1 bed flat for sale,51.51213,-0.129369,28.0,1,1,1,2021-07-09T14:29:21,500000.0,0,0,1,Leicester Square,132,588,"[12, 5, 52, 12]"
1285,1285,Westminster,2021-07-09,Beauchamp Estates St. Johns Wood,0,"Avenue Road, St John's Wood NW8",0,0,pre-owned,3500000.0,flat,0,Other,3 bed flat for sale,51.535421,-0.163718,159.0,3,3,0,2021-07-09T14:22:28,3500000.0,1,1,0,St. John's Wood,789,10,"[5, 0, 0, 0]"
1286,1286,Westminster,2021-07-09,Beauchamp Estates St. Johns Wood,0,"Randolph Avenue, Maida Vale W9",0,0,pre-owned,2699950.0,flat,0,Other,3 bed flat for sale,51.526021,-0.180848,150.0,3,3,0,2021-07-09T14:22:26,2699950.0,1,0,0,Warwick Avenue,296,35,"[4, 1, 3, 0]"
1287,1287,Westminster,2021-07-09,Beauchamp Estates,0,"Gatliff Road, Chelsea SW1W",0,0,pre-owned,1395000.0,flat,0,leasehold,2 bed flat for sale,51.487199,-0.148559,75.0,2,2,0,2021-07-09T11:55:45,1470000.0,0,1,0,Sloane Square,799,23,"[4, 2, 2, 0]"
1288,1288,Westminster,2021-07-09,Wetherell,0,"Ashburton Place, London W1J",0,0,pre-owned,14500000.0,flat,0,Other,3 bed flat for sale,51.506526,-0.144144,268.0,3,3,2,2021-07-09T11:21:05,14500000.0,0,1,0,Green Park,114,129,"[2, 0, 2, 2]"
1289,1289,Westminster,2021-07-09,Wetherell,0,"Bolton Street, London W1J",0,0,pre-owned,13500000.0,,0,freehold,6 bed property for sale,51.507064,-0.144627,745.0,6,4,3,2021-07-09T11:17:11,13500000.0,0,0,0,Green Park,124,140,"[2, 0, 2, 1]"
